source,cytokine,tf,assay,species,function,interaction,year
17916653,TGFB1,EGR1,ChIP,Bovine,,TGFB1_EGR1,2008
17916653,TGFB1,EGR1,Functional assay,Bovine,A,TGFB1_EGR1,2008
15217985,IFNT,ETS2,Functional assay,Bovine,A,IFNT_ETS2,2004
17276517,CXCL8,NFKB1,Binding assay,Bovine,,CXCL8_NFKB1,2007
17276517,CXCL8,RELA,Binding assay,Bovine,,CXCL8_RELA,2007
23924068,IL2,NFATC1,ChIP,Cats,,IL2_NFATC1,2014
22581230,CXCL12,IRX5,Functional assay,Frog,R,CXCL12_IRX5,2012
17900530,CCL1,AHR,Binding assay,H,,CCL1_AHR,2007
16679317,CCL1,AHR,Binding assay,H,,CCL1_AHR,2006
16679317,CCL1,AHR,ChIP,H,,CCL1_AHR,2006
17900530,CCL1,AHR,Functional assay,H,A,CCL1_AHR,2007
16679317,CCL1,AHR,Functional assay,H,A,CCL1_AHR,2006
26860885,CSF2,AHR,ChIP,H,,CSF2_AHR,2016
17900530,CXCL13,AHR,Binding assay,H,,CXCL13_AHR,2007
17900530,CXCL13,AHR,Functional assay,H,A,CXCL13_AHR,2007
18289803,CXCL8,AHR,Binding assay,H,,CXCL8_AHR,2008
18289803,CXCL8,AHR,ChIP,H,,CXCL8_AHR,2008
18289803,CXCL8,AHR,Functional assay,H,A,CXCL8_AHR,2008
20676092,IL10,AHR,Binding assay,H,,IL10_AHR,2010
20676092,IL10,AHR,ChIP,H,,IL10_AHR,2010
20676092,IL10,AHR,Functional assay,H,A,IL10_AHR,2010
23349129,IL1B,AHR,ChIP,H,,IL1B_AHR,2013
23349129,IL1B,AHR,Functional assay,H,A,IL1B_AHR,2013
19578368,IL22,AHR,Functional assay,H,A,IL22_AHR,2009
27888289,IL4,AHR,ChIP,H,,IL4_AHR,2016
20511231,IL6,AHR,ChIP,H,,IL6_AHR,2010
23349129,IL6,AHR,ChIP,H,,IL6_AHR,2013
21104991,IL6,AHR,ChIP,H,,IL6_AHR,2011
18483242,IL6,AHR,ChIP,H,,IL6_AHR,2008
20511231,IL6,AHR,Functional assay,H,A,IL6_AHR,2010
23349129,IL6,AHR,Functional assay,H,A,IL6_AHR,2013
21104991,IL6,AHR,Functional assay,H,A,IL6_AHR,2011
18483242,IL6,AHR,Functional assay,H,A,IL6_AHR,2008
17900530,TNFSF13B,AHR,Binding assay,H,,TNFSF13B_AHR,2007
17900530,TNFSF13B,AHR,Functional assay,H,A,TNFSF13B_AHR,2007
26939703,IL12A,AR,ChIP,H,,IL12A_AR,2016
26939703,IL12A,AR,Functional assay,H,R,IL12A_AR,2016
21350238,TGFB1,AR,Binding assay,H,,TGFB1_AR,2012
18651839,TGFB1,AR,Binding assay,H,,TGFB1_AR,2008
18651839,TGFB1,AR,ChIP,H,,TGFB1_AR,2008
21350238,TGFB1,AR,Functional assay,H,R,TGFB1_AR,2012
18651839,TGFB1,AR,Functional assay,H,A,TGFB1_AR,2008
18651839,TGFB1,AR,Functional assay,H,R,TGFB1_AR,2008
21104991,IL6,ARNT,ChIP,H,,IL6_ARNT,2011
20511231,IL6,ARNT,Functional assay,H,A,IL6_ARNT,2010
18641343,IFNG,ATF1,Binding assay,H,,IFNG_ATF1,2008
10540320,IL10,ATF1,Binding assay,H,,IL10_ATF1,1999
10540320,IL10,ATF1,Functional assay,H,A,IL10_ATF1,1999
11776974,TGFB2,ATF1,Binding assay,H,,TGFB2_ATF1,2001
11776974,TGFB2,ATF1,Functional assay,H,A,TGFB2_ATF1,2001
18443042,CCL2,ATF2,Functional assay,H,A,CCL2_ATF2,2008
11413310,CCL5,ATF2,Binding assay,H,,CCL5_ATF2,2001
12388374,CCL5,ATF2,Binding assay,H,,CCL5_ATF2,2002
15546613,FASLG,ATF2,ChIP,H,,FASLG_ATF2,2004
20048166,IFNB1,ATF2,Binding assay,H,,IFNB1_ATF2,2010
10848607,IFNB1,ATF2,Binding assay,H,,IFNB1_ATF2,2000
10848607,IFNB1,ATF2,ChIP,H,,IFNB1_ATF2,2000
10848607,IFNB1,ATF2,Functional assay,H,A,IFNB1_ATF2,2000
8374955,IFNB1,ATF2,Functional assay,H,A,IFNB1_ATF2,1993
12836278,IFNG,ATF2,Binding assay,H,,IFNG_ATF2,2001
18641343,IFNG,ATF2,Binding assay,H,,IFNG_ATF2,2008
18641343,IFNG,ATF2,ChIP,H,,IFNG_ATF2,2008
18641343,IFNG,ATF2,Functional assay,H,A,IFNG_ATF2,2008
15546613,IL11,ATF2,ChIP,H,,IL11_ATF2,2004
21692767,IL18,ATF2,Binding assay,H,,IL18_ATF2,2011
11933077,IL1RN,ATF2,Binding assay,H,,IL1RN_ATF2,2002
22904313,IL23A,ATF2,Binding assay,H,,IL23A_ATF2,2012
20889550,IL32,ATF2,Binding assay,H,,IL32_ATF2,2010
20889550,IL32,ATF2,ChIP,H,,IL32_ATF2,2010
15546613,TGFB1,ATF2,ChIP,H,,TGFB1_ATF2,2004
1400310,TGFB2,ATF2,Binding assay,H,,TGFB2_ATF2,1992
1400310,TGFB2,ATF2,Functional assay,H,R,TGFB2_ATF2,1992
10748079,TNF,ATF2,Binding assay,H,,TNF_ATF2,2000
10954918,TNF,ATF2,Binding assay,H,,TNF_ATF2,2000
20068037,TNF,ATF2,ChIP,H,,TNF_ATF2,2010
10688670,TNF,ATF2,ChIP,H,,TNF_ATF2,2000
10913190,TNF,ATF2,ChIP,H,,TNF_ATF2,2000
15546613,TNF,ATF2,ChIP,H,,TNF_ATF2,2004
20068037,TNF,ATF2,Functional assay,H,A,TNF_ATF2,2010
10688670,TNF,ATF2,Functional assay,H,A,TNF_ATF2,2000
10748079,TNF,ATF2,Functional assay,H,A,TNF_ATF2,2000
10913190,TNF,ATF2,Functional assay,H,A,TNF_ATF2,2000
10318823,TNF,ATF2,Functional assay,H,R,TNF_ATF2,1999
10760799,CCL5,ATF3,Binding assay,H,,CCL5_ATF3,2000
20304822,IFNG,ATF3,ChIP,H,,IFNG_ATF3,2010
20304822,IFNG,ATF3,Functional assay,H,A,IFNG_ATF3,2010
18942706,IL6,ATF3,Functional assay,H,R,IL6_ATF3,2009
28577574,LIF,ATF3,ChIP,H,,LIF_ATF3,2017
28577574,LIF,ATF3,Functional assay,H,A,LIF_ATF3,2017
16931790,CCL2,ATF4,Functional assay,H,A,CCL2_ATF4,2006
16931790,CXCL3,ATF4,Functional assay,H,A,CXCL3_ATF4,2006
16931790,CXCL8,ATF4,Functional assay,H,A,CXCL8_ATF4,2006
21692767,IL18,ATF4,Binding assay,H,,IL18_ATF4,2011
16931790,IL6,ATF4,Functional assay,H,A,IL6_ATF4,2006
25811130,TNFSF11,ATF4,ChIP,H,,TNFSF11_ATF4,2015
25811130,TNFSF11,ATF4,Functional assay,H,A,TNFSF11_ATF4,2015
26123998,CXCL8,BACH1,ChIP,H,,CXCL8_BACH1,2015
26123998,CXCL8,BACH1,Functional assay,H,R,CXCL8_BACH1,2015
18769450,IL2,BACH2,ChIP,H,,IL2_BACH2,2008
18769450,IL2,BACH2,Functional assay,H,A,IL2_BACH2,2008
29588546,IL17A,BATF,ChIP,H,,IL17A_BATF,2018
29588546,IL26,BATF,ChIP,H,,IL26_BATF,2018
29588546,IL26,BATF,Functional assay,H,A,IL26_BATF,2018
29588546,IL17A,BATF3,ChIP,H,,IL17A_BATF3,2018
29588546,IL26,BATF3,ChIP,H,,IL26_BATF3,2018
29588546,IL26,BATF3,Functional assay,H,A,IL26_BATF3,2018
21801248,CCL1,BCL6,ChIP,H,,CCL1_BCL6,2011
21801248,CCL11,BCL6,ChIP,H,,CCL11_BCL6,2011
21801248,CCL13,BCL6,ChIP,H,,CCL13_BCL6,2011
21801248,CCL2,BCL6,ChIP,H,,CCL2_BCL6,2011
21801248,CCL7,BCL6,ChIP,H,,CCL7_BCL6,2011
21801248,CCL8,BCL6,ChIP,H,,CCL8_BCL6,2011
11374866,IL4,BCL6,Binding assay,H,,IL4_BCL6,2001
11374866,IL4,BCL6B,Binding assay,H,,IL4_BCL6B,2001
24429361,CCL2,CEBPA,ChIP,H,,CCL2_CEBPA,2014
24429361,CCL2,CEBPA,Functional assay,H,A,CCL2_CEBPA,2014
11259372,CCL5,CEBPA,Binding assay,H,,CCL5_CEBPA,2001
11259372,CCL5,CEBPA,Functional assay,H,A,CCL5_CEBPA,2001
8999951,CXCL8,CEBPA,Binding assay,H,,CXCL8_CEBPA,1997
8999951,CXCL8,CEBPA,Functional assay,H,A,CXCL8_CEBPA,1997
12493739,IL10,CEBPA,Binding assay,H,,IL10_CEBPA,2003
12493739,IL10,CEBPA,Functional assay,H,A,IL10_CEBPA,2003
10942517,IL24,CEBPA,Functional assay,H,A,IL24_CEBPA,2000
18649942,CCL2,CEBPB,ChIP,H,,CCL2_CEBPB,2008
18649942,CCL2,CEBPB,Functional assay,H,A,CCL2_CEBPB,2008
22911498,CCL20,CEBPB,Binding assay,H,,CCL20_CEBPB,2012
22911498,CCL20,CEBPB,ChIP,H,,CCL20_CEBPB,2012
22911498,CCL20,CEBPB,Functional assay,H,A,CCL20_CEBPB,2012
20702408,CCL3,CEBPB,Binding assay,H,,CCL3_CEBPB,2010
24038085,CCL3,CEBPB,ChIP,H,,CCL3_CEBPB,2013
20702408,CCL3,CEBPB,Functional assay,H,A,CCL3_CEBPB,2010
19109189,CCL3,CEBPB,Functional assay,H,A,CCL3_CEBPB,2009
9885903,CCL3,CEBPB,Functional assay,H,A,CCL3_CEBPB,1998
25264740,CCL3,CEBPB,Functional assay,H,A,CCL3_CEBPB,2014
20702408,CCL4,CEBPB,Binding assay,H,,CCL4_CEBPB,2010
24038085,CCL4,CEBPB,ChIP,H,,CCL4_CEBPB,2013
20702408,CCL4,CEBPB,Functional assay,H,A,CCL4_CEBPB,2010
19109189,CCL4,CEBPB,Functional assay,H,A,CCL4_CEBPB,2009
25264740,CCL4,CEBPB,Functional assay,H,A,CCL4_CEBPB,2014
11413310,CCL5,CEBPB,Binding assay,H,,CCL5_CEBPB,2001
12388374,CCL5,CEBPB,Binding assay,H,,CCL5_CEBPB,2002
11413310,CCL5,CEBPB,Functional assay,H,A,CCL5_CEBPB,2001
15117956,CCL5,CEBPB,Binding assay,H,,CCL5_CEBPB,2004
15117956,CCL5,CEBPB,Functional assay,H,A,CCL5_CEBPB,2004
7513199,CSF3,CEBPB,Binding assay,H,,CSF3_CEBPB,1994
15085176,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2004
12707271,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2003
8999951,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,1997
12748173,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2003
17471497,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2007
19109189,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2009
23051921,CXCL8,CEBPB,Binding assay,H,,CXCL8_CEBPB,2012
27856305,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2017
19734226,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2009
20861254,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2010
16818736,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2006
19109189,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2009
14645117,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2004
24038085,CXCL8,CEBPB,ChIP,H,,CXCL8_CEBPB,2013
12707271,CXCL8,CEBPB,Functional assay,H,R,CXCL8_CEBPB,2003
8999951,CXCL8,CEBPB,Functional assay,H,A,CXCL8_CEBPB,1997
12748173,CXCL8,CEBPB,Functional assay,H,A,CXCL8_CEBPB,2003
19109189,CXCL8,CEBPB,Functional assay,H,A,CXCL8_CEBPB,2009
12493739,IL10,CEBPB,Binding assay,H,,IL10_CEBPB,2003
24012417,IL12B,CEBPB,ChIP,H,,IL12B_CEBPB,2013
22981205,IL13,CEBPB,Functional assay,H,R,IL13_CEBPB,2012
17283046,IL1B,CEBPB,Binding assay,H,,IL1B_CEBPB,2007
10801783,IL1B,CEBPB,Binding assay,H,,IL1B_CEBPB,2000
10383163,IL1B,CEBPB,Binding assay,H,,IL1B_CEBPB,1999
9376596,IL1B,CEBPB,Binding assay,H,,IL1B_CEBPB,1997
17283046,IL1B,CEBPB,ChIP,H,,IL1B_CEBPB,2007
17386941,IL1B,CEBPB,ChIP,H,,IL1B_CEBPB,2007
17283046,IL1B,CEBPB,Functional assay,H,A,IL1B_CEBPB,2007
10801783,IL1B,CEBPB,Functional assay,H,A,IL1B_CEBPB,2000
1730090,IL1B,CEBPB,Binding assay,H,,IL1B_CEBPB,1992
10942517,IL24,CEBPB,Binding assay,H,,IL24_CEBPB,2000
10942517,IL24,CEBPB,Functional assay,H,A,IL24_CEBPB,2000
12516545,IL4,CEBPB,Binding assay,H,,IL4_CEBPB,2002
7594540,IL4,CEBPB,Binding assay,H,,IL4_CEBPB,1995
19915002,IL4,CEBPB,ChIP,H,,IL4_CEBPB,2010
7594540,IL4,CEBPB,Functional assay,H,A,IL4_CEBPB,1995
15048722,IL4,CEBPB,Functional assay,H,A,IL4_CEBPB,2004
11120852,IL6,CEBPB,Binding assay,H,,IL6_CEBPB,2000
1730090,IL6,CEBPB,Binding assay,H,,IL6_CEBPB,1992
7744784,IL6,CEBPB,Binding assay,H,,IL6_CEBPB,1995
9648065,IL6,CEBPB,Binding assay,H,,IL6_CEBPB,1998
20511231,IL6,CEBPB,ChIP,H,,IL6_CEBPB,2010
12706815,IL6,CEBPB,ChIP,H,,IL6_CEBPB,2003
15688424,IL6,CEBPB,ChIP,H,,IL6_CEBPB,2005
24012417,IL6,CEBPB,ChIP,H,,IL6_CEBPB,2013
12706815,IL6,CEBPB,Functional assay,H,A,IL6_CEBPB,2003
11120852,IL6,CEBPB,Functional assay,H,A,IL6_CEBPB,2000
15688424,IL6,CEBPB,Functional assay,H,A,IL6_CEBPB,2005
7744784,IL6,CEBPB,Functional assay,H,A,IL6_CEBPB,1995
9182853,IL6,CEBPB,Functional assay,H,A,IL6_CEBPB,1997
10748079,TNF,CEBPB,Binding assay,H,,TNF_CEBPB,2000
10754326,TNF,CEBPB,Binding assay,H,,TNF_CEBPB,2000
9566900,TNF,CEBPB,Binding assay,H,,TNF_CEBPB,1998
24012417,TNF,CEBPB,ChIP,H,,TNF_CEBPB,2013
10754326,TNF,CEBPB,Functional assay,H,A,TNF_CEBPB,2000
10754326,TNF,CEBPB,Functional assay,H,R,TNF_CEBPB,2000
9566900,TNF,CEBPB,Functional assay,H,A,TNF_CEBPB,1998
19109189,TNF,CEBPB,Functional assay,H,A,TNF_CEBPB,2009
1730090,TNF,CEBPB,Binding assay,H,,TNF_CEBPB,1992
25811130,TNFSF11,CEBPB,ChIP,H,,TNFSF11_CEBPB,2015
20225273,TNFSF11,CEBPB,ChIP,H,,TNFSF11_CEBPB,2010
25811130,TNFSF11,CEBPB,Functional assay,H,A,TNFSF11_CEBPB,2015
20225273,TNFSF11,CEBPB,Functional assay,H,A,TNFSF11_CEBPB,2010
11413310,CCL5,CEBPD,Binding assay,H,,CCL5_CEBPD,2001
8999951,CXCL8,CEBPD,Binding assay,H,,CXCL8_CEBPD,1997
8999951,CXCL8,CEBPD,Functional assay,H,A,CXCL8_CEBPD,1997
15158360,IL6,CEBPD,Binding assay,H,,IL6_CEBPD,2004
15158360,IL6,CEBPD,Functional assay,H,A,IL6_CEBPD,2004
7665092,IL4,CEBPG,Binding assay,H,,IL4_CEBPG,1995
24038085,CCL3,CREB1,ChIP,H,,CCL3_CREB1,2013
24038085,CCL3,CREB1,Functional assay,H,A,CCL3_CREB1,2013
16443828,CCL4,CREB1,Binding assay,H,,CCL4_CREB1,2006
24038085,CCL4,CREB1,ChIP,H,,CCL4_CREB1,2013
24038085,CCL4,CREB1,Functional assay,H,A,CCL4_CREB1,2013
11413310,CCL5,CREB1,Binding assay,H,,CCL5_CREB1,2001
12388374,CCL5,CREB1,Binding assay,H,,CCL5_CREB1,2002
17471497,CXCL8,CREB1,Binding assay,H,,CXCL8_CREB1,2007
24038085,CXCL8,CREB1,ChIP,H,,CXCL8_CREB1,2013
24038085,CXCL8,CREB1,Functional assay,H,A,CXCL8_CREB1,2013
11907114,IFNG,CREB1,Binding assay,H,,IFNG_CREB1,2002
7759501,IFNG,CREB1,Binding assay,H,,IFNG_CREB1,1995
18641343,IFNG,CREB1,Binding assay,H,,IFNG_CREB1,2008
20685939,IFNG,CREB1,Binding assay,H,,IFNG_CREB1,2010
15879136,IFNG,CREB1,Binding assay,H,,IFNG_CREB1,2005
18641343,IFNG,CREB1,ChIP,H,,IFNG_CREB1,2008
20685939,IFNG,CREB1,ChIP,H,,IFNG_CREB1,2010
15879136,IFNG,CREB1,ChIP,H,,IFNG_CREB1,2005
11907114,IFNG,CREB1,Functional assay,H,A,IFNG_CREB1,2002
15879136,IFNG,CREB1,Functional assay,H,A,IFNG_CREB1,2005
17202341,IL10,CREB1,Binding assay,H,,IL10_CREB1,2007
10540320,IL10,CREB1,Binding assay,H,,IL10_CREB1,1999
19564345,IL10,CREB1,ChIP,H,,IL10_CREB1,2009
10540320,IL10,CREB1,Functional assay,H,A,IL10_CREB1,1999
10383163,IL1B,CREB1,Binding assay,H,,IL1B_CREB1,1999
24038085,IL1B,CREB1,Functional assay,H,A,IL1B_CREB1,2013
8814256,IL2,CREB1,Binding assay,H,,IL2_CREB1,1996
12370343,IL2,CREB1,ChIP,H,,IL2_CREB1,2002
12626549,IL2,CREB1,ChIP,H,,IL2_CREB1,2003
20889550,IL32,CREB1,Binding assay,H,,IL32_CREB1,2010
20889550,IL32,CREB1,ChIP,H,,IL32_CREB1,2010
20889550,IL32,CREB1,Functional assay,H,A,IL32_CREB1,2010
20160059,IL6,CREB1,Functional assay,H,A,IL6_CREB1,2010
11776974,TGFB2,CREB1,Binding assay,H,,TGFB2_CREB1,2001
24038085,TNF,CREB1,Functional assay,H,A,TNF_CREB1,2013
9211933,TNF,CREB1,Binding assay,H,,TNF_CREB1,1997
16443828,CCL4,CREM,Binding assay,H,,CCL4_CREM,2006
16443828,CCL4,CREM,Functional assay,H,R,CCL4_CREM,2006
9545284,CSF2,CREM,Binding assay,H,,CSF2_CREM,1998
9545284,CSF2,CREM,Functional assay,H,R,CSF2_CREM,1998
9545284,IFNG,CREM,Binding assay,H,,IFNG_CREM,1998
15841182,IL2,CREM,Binding assay,H,,IL2_CREM,2005
9545284,IL2,CREM,Binding assay,H,,IL2_CREM,1998
12370343,IL2,CREM,ChIP,H,,IL2_CREM,2002
21976679,IL2,CREM,ChIP,H,,IL2_CREM,2011
12626549,IL2,CREM,ChIP,H,,IL2_CREM,2003
12370343,IL2,CREM,Functional assay,H,A,IL2_CREM,2002
12626549,IL2,CREM,Functional assay,H,R,IL2_CREM,2003
9545284,IL2,CREM,Functional assay,H,R,IL2_CREM,1998
9545284,IL4,CREM,Binding assay,H,,IL4_CREM,1998
9545284,TNF,CREM,Binding assay,H,,TNF_CREM,1998
9545284,TNF,CREM,Functional assay,H,R,TNF_CREM,1998
19158269,IL3,CTCF,Binding assay,H,,IL3_CTCF,2009
19158269,IL3,CTCF,ChIP,H,,IL3_CTCF,2009
17891780,TNFSF11,DACH1,Functional assay,H,R,TNFSF11_DACH1,2008
18649942,CCL2,DDIT3,Functional assay,H,R,CCL2_DDIT3,2008
18772138,CXCL8,DDIT3,Binding assay,H,,CXCL8_DDIT3,2008
17709599,CXCL8,DDIT3,ChIP,H,,CXCL8_DDIT3,2008
18772138,CXCL8,DDIT3,ChIP,H,,CXCL8_DDIT3,2008
15688424,CXCL8,DDIT3,ChIP,H,,CXCL8_DDIT3,2005
18850010,CXCL8,DDIT3,ChIP,H,,CXCL8_DDIT3,2009
17709599,CXCL8,DDIT3,Functional assay,H,A,CXCL8_DDIT3,2008
18772138,CXCL8,DDIT3,Functional assay,H,A,CXCL8_DDIT3,2008
20876114,IL23A,DDIT3,ChIP,H,,IL23A_DDIT3,2010
20876114,IL23A,DDIT3,Functional assay,H,A,IL23A_DDIT3,2010
12706815,IL6,DDIT3,Functional assay,H,A,IL6_DDIT3,2003
15688424,IL6,DDIT3,Functional assay,H,A,IL6_DDIT3,2005
17707233,CCL3,E2F1,ChIP,H,,CCL3_E2F1,2007
17707233,CCL3,E2F1,Functional assay,H,A,CCL3_E2F1,2007
17707233,IL1B,E2F1,ChIP,H,,IL1B_E2F1,2007
17707233,IL1B,E2F1,Functional assay,H,A,IL1B_E2F1,2007
17707233,IL23A,E2F1,ChIP,H,,IL23A_E2F1,2007
17707233,IL23A,E2F1,Functional assay,H,A,IL23A_E2F1,2007
17707233,TNF,E2F1,ChIP,H,,TNF_E2F1,2007
17707233,TNF,E2F1,Functional assay,H,A,TNF_E2F1,2007
18381203,TNFSF11,E2F1,Binding assay,H,,TNFSF11_E2F1,2008
18381203,TNFSF11,E2F1,ChIP,H,,TNFSF11_E2F1,2008
18381203,TNFSF11,E2F1,Functional assay,H,A,TNFSF11_E2F1,2008
22981205,IL13,E2F6,Functional assay,H,R,IL13_E2F6,2012
24337575,CCL2,EGR1,ChIP,H,,CCL2_EGR1,2014
19032775,CD40LG,EGR1,ChIP,H,,CD40LG_EGR1,2008
19032775,CSF3,EGR1,ChIP,H,,CSF3_EGR1,2008
24337575,CXCL5,EGR1,ChIP,H,,CXCL5_EGR1,2014
17471497,CXCL8,EGR1,Binding assay,H,,CXCL8_EGR1,2007
19837667,CXCL8,EGR1,ChIP,H,,CXCL8_EGR1,2009
24337575,CXCL8,EGR1,ChIP,H,,CXCL8_EGR1,2014
19837667,CXCL8,EGR1,Functional assay,H,A,CXCL8_EGR1,2009
19032775,FASLG,EGR1,ChIP,H,,FASLG_EGR1,2008
8900159,IFNG,EGR1,Binding assay,H,,IFNG_EGR1,1996
19915002,IFNG,EGR1,Functional assay,H,A,IFNG_EGR1,2010
19032775,IL15,EGR1,ChIP,H,,IL15_EGR1,2008
12560487,IL2,EGR1,Binding assay,H,,IL2_EGR1,2003
17142725,IL2,EGR1,ChIP,H,,IL2_EGR1,2006
12560487,IL2,EGR1,Functional assay,H,A,IL2_EGR1,2003
19915002,IL2,EGR1,Functional assay,H,A,IL2_EGR1,2010
17142725,IL2,EGR1,Functional assay,H,A,IL2_EGR1,2006
8035792,IL3,EGR1,Binding assay,H,,IL3_EGR1,1994
8035792,IL3,EGR1,Functional assay,H,A,IL3_EGR1,1994
19915002,IL4,EGR1,Binding assay,H,,IL4_EGR1,2010
19915002,IL4,EGR1,ChIP,H,,IL4_EGR1,2010
19915002,IL4,EGR1,Functional assay,H,A,IL4_EGR1,2010
19032775,OSM,EGR1,ChIP,H,,OSM_EGR1,2008
8058069,TGFB1,EGR1,Binding assay,H,,TGFB1_EGR1,1994
20690147,TGFB1,EGR1,ChIP,H,,TGFB1_EGR1,2010
8058069,TGFB1,EGR1,Functional assay,H,A,TGFB1_EGR1,1994
12560487,TNF,EGR1,Binding assay,H,,TNF_EGR1,2003
7918637,TNF,EGR1,Binding assay,H,,TNF_EGR1,1994
10913190,TNF,EGR1,ChIP,H,,TNF_EGR1,2000
24337575,TNF,EGR1,ChIP,H,,TNF_EGR1,2014
12560487,TNF,EGR1,Functional assay,H,A,TNF_EGR1,2003
10913190,TNF,EGR1,Functional assay,H,A,TNF_EGR1,2000
20653771,TNF,EGR1,Functional assay,H,A,TNF_EGR1,2010
7918637,TNF,EGR1,Functional assay,H,A,TNF_EGR1,1994
9211933,TNF,EGR1,Binding assay,H,,TNF_EGR1,1997
8035792,IL3,EGR2,Functional assay,H,A,IL3_EGR2,1994
19915002,IL4,EGR2,Binding assay,H,,IL4_EGR2,2010
24007274,IL6,EGR2,ChIP,H,,IL6_EGR2,2014
24007274,IL6,EGR2,Functional assay,H,A,IL6_EGR2,2014
24007274,LIF,EGR2,ChIP,H,,LIF_EGR2,2014
24007274,LIF,EGR2,Functional assay,H,A,LIF_EGR2,2014
19915002,IL4,EGR3,Binding assay,H,,IL4_EGR3,2010
12560487,IL2,EGR4,Binding assay,H,,IL2_EGR4,2003
12560487,IL2,EGR4,Functional assay,H,A,IL2_EGR4,2003
12560487,TNF,EGR4,Binding assay,H,,TNF_EGR4,2003
12560487,TNF,EGR4,Functional assay,H,A,TNF_EGR4,2003
27732936,IL6,EHF,ChIP,H,,IL6_EHF,2016
27732936,IL6,EHF,Functional assay,H,R,IL6_EHF,2016
8611694,CSF2,ELF1,Binding assay,H,,CSF2_ELF1,1996
8228815,IL3,ELF1,Binding assay,H,,IL3_ELF1,1993
8228815,IL3,ELF1,Functional assay,H,A,IL3_ELF1,1993
14625302,CXCL8,ELF4,Binding assay,H,,CXCL8_ELF4,2004
14625302,CXCL8,ELF4,ChIP,H,,CXCL8_ELF4,2004
14625302,CXCL8,ELF4,Functional assay,H,A,CXCL8_ELF4,2004
28387727,CCL2,ELK1,Functional assay,H,A,CCL2_ELK1,2017
28387727,CXCL3,ELK1,Functional assay,H,A,CXCL3_ELK1,2017
10913190,TNF,ELK1,Binding assay,H,,TNF_ELK1,2000
10913190,TNF,ELK1,ChIP,H,,TNF_ELK1,2000
10913190,TNF,ELK1,Functional assay,H,A,TNF_ELK1,2000
21925595,CXCL8,EPAS1,Functional assay,H,A,CXCL8_EPAS1,2011
17932106,CCL2,ESR1,ChIP,H,,CCL2_ESR1,2008
17932106,CCL2,ESR1,Functional assay,H,R,CCL2_ESR1,2008
26790618,CCL5,ESR1,Functional assay,H,R,CCL5_ESR1,2016
18563714,CXCL12,ESR1,Functional assay,H,A,CXCL12_ESR1,2008
17932106,CXCL8,ESR1,ChIP,H,,CXCL8_ESR1,2008
16029657,CXCL8,ESR1,Functional assay,H,R,CXCL8_ESR1,2005
17932106,IL6,ESR1,ChIP,H,,IL6_ESR1,2008
16483936,TNF,ESR1,ChIP,H,,TNF_ESR1,2006
16483936,TNF,ESR1,Functional assay,H,A,TNF_ESR1,2006
16483936,TNF,ESR1,Functional assay,H,R,TNF_ESR1,2006
16483936,TNF,ESR2,ChIP,H,,TNF_ESR2,2006
16483936,TNF,ESR2,Functional assay,H,A,TNF_ESR2,2006
16483936,TNF,ESR2,Functional assay,H,R,TNF_ESR2,2006
22869003,CCL2,ETS1,ChIP,H,,CCL2_ETS1,2012
22869003,CCL2,ETS1,Functional assay,H,A,CCL2_ETS1,2012
24379347,CCL2,ETS1,Functional assay,H,A,CCL2_ETS1,2014
8611694,CSF2,ETS1,Binding assay,H,,CSF2_ETS1,1996
9190901,CSF2,ETS1,Binding assay,H,,CSF2_ETS1,1997
12475968,CSF2,ETS1,ChIP,H,,CSF2_ETS1,2002
12475968,CSF2,ETS1,Functional assay,H,A,CSF2_ETS1,2002
8611694,CSF2,ETS1,Functional assay,H,A,CSF2_ETS1,1996
9190901,CSF2,ETS1,Functional assay,H,A,CSF2_ETS1,1997
7876544,IL2,ETS1,Functional assay,H,A,IL2_ETS1,1995
10212281,IL5,ETS1,Binding assay,H,,IL5_ETS1,1999
17845581,IL5,ETS1,ChIP,H,,IL5_ETS1,2007
10212281,IL5,ETS1,Functional assay,H,A,IL5_ETS1,1999
17845581,IL5,ETS1,Functional assay,H,A,IL5_ETS1,2007
10913190,TNF,ETS1,Binding assay,H,,TNF_ETS1,2000
7896795,TNF,ETS1,Binding assay,H,,TNF_ETS1,1995
10913190,TNF,ETS1,ChIP,H,,TNF_ETS1,2000
16199883,TNF,ETS1,ChIP,H,,TNF_ETS1,2005
10913190,TNF,ETS1,Functional assay,H,A,TNF_ETS1,2000
7896795,TNF,ETS1,Functional assay,H,A,TNF_ETS1,1995
12215452,TNFSF14,ETS1,Binding assay,H,,TNFSF14_ETS1,2002
